Prediction for the average column is 0.15347915440722282,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.age,1.0268946340085225,1.0268946340085225,0.15347915440722282,2.0268946340085225,0.1967594019561472,0.04328024754892437
1,cc.blackdum,0.09787523271964302,0.0,0.15347915440722282,1.0,0.12517532789214272,-0.028303826515080094
2,cc.cc16_304,0.9319484542075599,0.9319484542075599,0.15347915440722282,1.9319484542075598,0.45660550514502746,0.30312635073780464
3,cc.cc16_305_2,0.11770442388959484,0.0,0.15347915440722282,1.0,0.1878667746802517,0.034387620273028885
4,cc.cc16_422c,0.8544200550708461,0.8544200550708461,0.15347915440722282,1.854420055070846,0.18378732320806454,0.030308168800841723
5,cc.cc16_422d,0.8631180396536022,0.8631180396536022,0.15347915440722282,1.8631180396536022,0.3164003318664455,0.1629211774592227
6,cc.cc16_422e,0.8760973805135978,0.8760973805135978,0.15347915440722282,1.8760973805135976,0.1616944989188796,0.008215344511656786
7,cc.cc16_422f,0.8742308786930013,0.8742308786930013,0.15347915440722282,1.8742308786930013,0.29240664180366704,0.13892748739644423
8,cc.catholic,0.22190372055911817,0.0,0.15347915440722282,1.0,0.14167653616302242,-0.011802618244200397
9,cc.evanprot,0.2775495729779249,0.0,0.15347915440722282,1.0,0.18982678604738046,0.03634763164015764
10,cc.ideo7,0.9088929948634703,0.9088929948634703,0.15347915440722282,1.9088929948634703,0.5368385768121642,0.38335942240494136
11,cc.inddum,0.25905020833948994,0.0,0.15347915440722282,1.0,0.5083490977447229,0.3548699433375001
12,cc.religiosity,0.9110605790375812,0.9110605790375812,0.15347915440722282,1.9110605790375812,0.20202107080409268,0.04854191639686986
13,cc.repdum,0.2771358491681196,0.0,0.15347915440722282,1.0,0.8518933424615915,0.6984141880543687
14,cc.sex,0.5405892609119655,0.0,0.1696496020742729,1.0,0.15347915440722282,-0.016170447667050086
15,cc.whitedum,0.7710925263748929,0.0,0.1479051703137093,1.0,0.15347915440722282,0.0055739840935135065
16,cc.emp.nojob,0.04270220751204232,0.0,0.15347915440722282,1.0,0.15489960895267735,0.0014204545454545303
17,cc.faminc,0.9544086058861807,0.9544086058861807,0.15347915440722282,1.9544086058861807,0.1688346117931406,0.015355457385917787
18,cc.i.white.educhs,0.18259995862761902,0.0,0.15347915440722282,1.0,0.1644585199181913,0.01097936551096848
19,cc.immviewsum,0.8049226662084513,0.8049226662084513,0.15347915440722282,1.8049226662084514,0.31418746420719984,0.16070830979997702
20,cc.maxeduc.4yr,0.25352404030851977,0.0,0.15347915440722282,1.0,0.14667785888901552,-0.006801295518207295
21,cc.union,0.2854989804663258,0.0,0.15347915440722282,1.0,0.15277414839173292,-0.0007050060154898952
22,crashpc,0.8602035361733877,0.8602035361733877,0.15347915440722282,1.8602035361733877,0.1760937385997132,0.022614584192490378
23,demo.popdense,0.2616406111903928,0.2616406111903928,0.15347915440722282,1.2616406111903928,0.15302028664959344,-0.0004588677576293776
24,job.uer,0.9610657384656669,0.9610657384656669,0.15347915440722282,1.961065738465667,0.15501643844702406,0.0015372840398012455
25,mort.ucd.despair.disc95.pdpy,0.9641373091970962,0.9641373091970962,0.15347915440722282,1.9641373091970962,0.17332275690984106,0.01984360250261824
26,rustpc,0.7223190867609042,0.7223190867609042,0.15347915440722282,1.7223190867609042,0.16642989766780797,0.012950743260585151
